"PROVMUN","whichMax","Max","pcMax"
"23049","OTH",1108,55.4832248372559
"23050","PP",32224,35.3829936753338
"23051","PSOE",1073,38.2122507122507
"23052","PSOE",583,48.9915966386555
"23053","PSOE",4393,46.7439880825708
"23054","PSOE",152,38.8746803069054
"23055","ABS",19558,40.6839598111206
"23056","PSOE",1029,32.5015792798484
"23057","OTH",341,40.5469678953627
"23058","PP",2721,32.2278810849224
"23059","PSOE",2199,36.8218352310784
"23060","ABS",5754,30.2348799327413
"23061","PSOE",2593,35.7015007572628
"23062","PP",647,43.5690235690236
"23063","PSOE",1210,30.6251581878006
"23064","PSOE",1014,60.0355239786856
"23065","PSOE",745,44.1612329579135
"23066","PSOE",1870,43.0082796688133
"23067","PP",738,29.4141092068553
"23069","PP",2824,51.1131221719457
"23070","PP",1346,32.1471220444232
"23071","PSOE",790,43.5501653803749
"23072","PSOE",799,38.3397312859885
"23073","PSOE",2022,44.2935377875137
"23074","PSOE",1263,41.6419386745796
"23075","PSOE",1540,45.0555880631949
"23076","PP",447,53.6614645858343
"23077","PSOE",297,44.0652818991098
"23079","PSOE",1103,29.3351063829787
"23080","PSOE",947,50.1058201058201
"23081","PSOE",664,40.6364749082007
"23082","PP",865,42.9493545183714
"23084","PSOE",427,40.0562851782364
"23085","OTH",1345,57.1853741496599
"23086","PSOE",3222,28.2383873794917
"23087","PP",2881,25.1242696433243
"23088","PSOE",2437,39.6002599935002
"23090","PP",622,44.844989185292
"23091","PP",421,52.625
"23092","ABS",9929,35.5279636454718
"23093","PSOE",1413,42.6244343891403
"23094","PSOE",1202,30.5308610617221
"23095","PP",2547,28.6792027924783
"23096","PSOE",1337,50.4337985665786
"23097","PSOE",1907,29.3881954076129
"23098","PP",547,58.6280814576634
"23099","PP",1786,38.6329223447977
"23101","PSOE",237,58.955223880597
"23901","PP",623,52.4852569502949
"23902","PSOE",1040,41.3847990449662
"23903","PP",1114,31.5938740782757
"23904","PSOE",1179,38.1060116354234
"23905","OTH",734,39.1675560298826
"29001","OTH",1803,42.8775267538644
"29002","ABS",384,22.4299065420561
"29003","PSOE",582,50.9632224168126
"29004","PSOE",206,44.7826086956522
"29005","OTH",1274,28.0926130099228
"29006","PSOE",218,29.9450549450549
"29007","ABS",11096,42.4159021406728
"29008","PP",5835,40.1748829523547
"29009","OTH",677,43.6774193548387
"29010","PSOE",759,44.7787610619469
"29011","PSOE",1367,43.1230283911672
"29012","PSOE",2972,29.315446833695
"29013","PSOE",919,51.6582349634626
"29014","PSOE",106,40.3041825095057
"29015","ABS",10933,34.3329983670393
"29016","OTH",184,54.4378698224852
"29017","OTH",2299,33.7542211129056
"29018","OTH",634,30.2192564346997
"29019","PSOE",501,51.1746680286006
"29020","PSOE",1146,35.6232514765309
"29021","PSOE",93,56.7073170731707
"29022","PSOE",95,45.2380952380952
"29023","PP",1013,43.5137457044674
"29024","ABS",72,16.7832167832168
"29025","ABS",16436,44.1590542718968
"29026","PP",656,53.0744336569579
"29027","PP",1313,52.8795811518325
"29028","PSOE",370,28.7937743190661
"29029","PP",276,57.3804573804574
"29030","PSOE",410,47.8971962616822
"29031","PSOE",593,35.9830097087379
"29032","PSOE",2286,33.801567351767
"29033","ABS",484,32.1808510638298
"29034","PP",250,41.1184210526316
"29035","PSOE",657,38.0208333333333
"29036","PP",221,32.3099415204678
"29037","PSOE",163,65.9919028340081
"29038","ABS",6785,41.465501436167
"29039","PP",992,33.9145299145299
"29040","PSOE",759,35.7512953367876
"29041","OTH",1233,33.734610123119
"29042","PP",4606,31.8335752298016
"29043","PSOE",840,31.0880829015544
"29044","PP",523,48.6511627906977
"29045","PP",1310,57.2802798425885
"29046","OTH",921,32.5902335456476
"29047","PSOE",587,49.4107744107744
"29048","PSOE",744,48.8830486202365
"29049","OTH",1412,44.3885570575291
"29050","PP",269,50.5639097744361
